1	5400001	87900001
5400001	10900001	87900001
10900001	16400001	87900001
16400001	21900001	87900001
21900001	27400001	87900001
27400001	32900001	87900001
32900001	38400001	87900001
38400001	43900001	87900001
43900001	49400001	87900001
49400001	54900001	87900001
54900001	60400001	87900001
60400001	65900001	87900001
65900001	71400001	87900001
71400001	76900001	87900001
76900001	82400001	87900001
82400001	87900001	87900001
93900001	99300001	198000001
99300001	104800001	198000001
104800001	110300001	198000001
110300001	115800001	198000001
115800001	121300001	198000001
121300001	126700001	198000001
126700001	132200001	198000001
132200001	137700001	198000001
137700001	143200001	198000001
143200001	148700001	198000001
148700001	154100001	198000001
154100001	159600001	198000001
159600001	165100001	198000001
165100001	170600001	198000001
170600001	176100001	198000001
176100001	181500001	198000001
181500001	187000001	198000001
187000001	192500001	198000001
192500001	198000001	198000001
