19500001	24800001	115100001
24800001	30100001	115100001
30100001	35400001	115100001
35400001	40700001	115100001
40700001	46000001	115100001
46000001	51300001	115100001
51300001	56700001	115100001
56700001	62000001	115100001
62000001	67300001	115100001
67300001	72600001	115100001
72600001	77900001	115100001
77900001	83200001	115100001
83200001	88500001	115100001
88500001	93900001	115100001
93900001	99200001	115100001
99200001	104500001	115100001
104500001	109800001	115100001
109800001	115100001	115100001
