1	5300001	90500001
5300001	10600001	90500001
10600001	15900001	90500001
15900001	21200001	90500001
21200001	26600001	90500001
26600001	31900001	90500001
31900001	37200001	90500001
37200001	42500001	90500001
42500001	47900001	90500001
47900001	53200001	90500001
53200001	58500001	90500001
58500001	63800001	90500001
63800001	69200001	90500001
69200001	74500001	90500001
74500001	79800001	90500001
79800001	85100001	90500001
85100001	90500001	90500001
96800001	102000001	243100001
102000001	107200001	243100001
107200001	112400001	243100001
112400001	117700001	243100001
117700001	122900001	243100001
122900001	128100001	243100001
128100001	133300001	243100001
133300001	138600001	243100001
138600001	143800001	243100001
143800001	149000001	243100001
149000001	154300001	243100001
154300001	159500001	243100001
159500001	164700001	243100001
164700001	169900001	243100001
169900001	175200001	243100001
175200001	180400001	243100001
180400001	185600001	243100001
185600001	190900001	243100001
190900001	196100001	243100001
196100001	201300001	243100001
201300001	206500001	243100001
206500001	211800001	243100001
211800001	217000001	243100001
217000001	222200001	243100001
222200001	227500001	243100001
227500001	232700001	243100001
232700001	237900001	243100001
237900001	243100001	243100001
