1	5700001	51600001
5700001	11400001	51600001
11400001	17200001	51600001
17200001	22900001	51600001
22900001	28600001	51600001
28600001	34400001	51600001
34400001	40100001	51600001
40100001	45800001	51600001
45800001	51600001	51600001
55700001	61300001	135000001
61300001	67000001	135000001
67000001	72600001	135000001
72600001	78300001	135000001
78300001	84000001	135000001
84000001	89600001	135000001
89600001	95300001	135000001
95300001	101000001	135000001
101000001	106600001	135000001
106600001	112300001	135000001
112300001	118000001	135000001
118000001	123600001	135000001
123600001	129300001	135000001
129300001	135000001	135000001
