1	6300001	38000001
6300001	12600001	38000001
12600001	19000001	38000001
19000001	25300001	38000001
25300001	31600001	38000001
31600001	38000001	38000001
42300001	47700001	135500001
47700001	53200001	135500001
53200001	58700001	135500001
58700001	64200001	135500001
64200001	69700001	135500001
69700001	75200001	135500001
75200001	80600001	135500001
80600001	86100001	135500001
86100001	91600001	135500001
91600001	97100001	135500001
97100001	102600001	135500001
102600001	108100001	135500001
108100001	113500001	135500001
113500001	119000001	135500001
119000001	124500001	135500001
124500001	130000001	135500001
130000001	135500001	135500001
